2355200;3031040;2834432;2961408
1605632;1482752;2674688;2473984
2895872;2424832;2289664;2531328
5017600;3608576;2322432;2490368
2322432;4440064;5181440;5320704
1863680;1818624;4182016;2138112
7557120;5419008;1822720;5218304
4374528;4214784;4333568;23801856
8679424;3743744;6455296;5926912
5148672;5541888;1921024;3977216
4329472;2940928;4431872;4472832
10829824;3813376;8454144;6352896
5074944;4034560;4083712;7749632
4296704;4120576;4345856;4169728
8695808;8667136;10870784;8626176
4063232;5214208;3231744;4481024
4100096;4440064;4304896;22564864
6578176;3710976;8646656;3796992
1753088;4423680;1884160;4554752
4206592;4501504;4190208;21594112
5840896;3813376;8482816;8470528
1892352;4411392;7491584;9670656
4173824;4419584;4366336;4468736
6356992;5869568;8736768;6254592
