1679360;2490368;2486272
3104768;2904064;2379776
2514944;3465216;2551808
2117632;2195456;2404352
1609728;1372160;2387968
2400256;1839104;2699264
1712128;3252224;9547776
4382720;69980160;4370432
6717440;3956736;6635520
4079616;1744896;7602176
4444160;66981888;22818816
3817472;4030464;6492160
1687552;3211264;1794048
4415488;4464640;4333568
8757248;8572928;8474624
1916928;3952640;1908736
4411392;64921600;4227072
3899392;3981312;6598656
1675264;5287936;4034560
4608000;65392640;22806528
6619136;3862528;11079680
4452352;4059136;1826816
4276224;64385024;20889600
6742016;3801088;8716288
